"COMID","COMCODE","COMTYPE","TYPEDESCR","COMNAME","COMLEVEL","PARENTNAME","PARENTCOMCODE","COMSTATE","STATENAME","STREET1","STREET2","CITY","STATE","ZIP","PHONE","FAX","EMAIL","URL","CHAIRLNAME","CHAIRFNAME","CHAIRMNAME","CHAIROCODE","CHAIRDESC","RMMLNAME","RMMFNAME","RMMMNAME","RMMOCODE","RMMDESC","SD1LNAME","SD1FNAME","SD1MNAME","SD1TITLE","SD1MAJMIN","SD1PHONE","SD1EMAIL","GC1LNAME","GC1FNAME","GC1MNAME","GC1TITLE","GC1MAJMIN","GC1PHONE","GC1EMAIL","PS1LNAME","PS1FNAME","PS1MNAME","PS1TITLE","PS1MAJMIN","PS1PHONE","PS1EMAIL","PM1LNAME","PM1FNAME","PM1MNAME","PM1TITLE","PM1MAJMIN","PM1PHONE","PM1EMAIL","CK1LNAME","CK1FNAME","CK1MNAME","CK1TITLE","CK1MAJMIN","CK1PHONE","CK1EMAIL","SD2LNAME","SD2FNAME","SD2MNAME","SD2TITLE","SD2MAJMIN","SD2PHONE","SD2EMAIL","GC2LNAME","GC2FNAME","GC2MNAME","GC2TITLE","GC2MAJMIN","GC2PHONE","GC2EMAIL","PS2LNAME","PS2FNAME","PS2MNAME","PS2TITLE","PS2MAJMIN","PS2PHONE","PS2EMAIL","PM2LNAME","PM2FNAME","PM2MNAME","PM2TITLE","PM2MAJMIN","PM2PHONE","PM2EMAIL","CK2LNAME","CK2FNAME","CK2MNAME","CK2TITLE","CK2MAJMIN","CK2PHONE","CK2EMAIL"
25091,"GASCHHS10","SS","State Senate","Subcommittee on Health Care Delivery","Subcommittee","Senate Committee on Health and Human Services","GASCHHS",2,"Georgia","Room 121-F State Capitol Building","206 Washington Street","Atlanta","GA","30334","(404) 463-1368","(404) 651-6767","","http://www.senate.ga.gov/committees/en-US/committee.aspx?Committee=76&Session=25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25092,"GASCHHS15","SS","State Senate","Subcommittee on Pharmacology","Subcommittee","Senate Committee on Health and Human Services","GASCHHS",2,"Georgia","Room 121-F State Capitol Building","206 Washington Street","Atlanta","GA","30334","(404) 463-1368","(404) 651-6767","","http://www.senate.ga.gov/committees/en-US/committee.aspx?Committee=76&Session=25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25093,"GASCHHS20","SS","State Senate","Subcommittee on Scope of Practice","Subcommittee","Senate Committee on Health and Human Services","GASCHHS",2,"Georgia","Room 121-F State Capitol Building","206 Washington Street","Atlanta","GA","30334","(404) 463-1368","(404) 651-6767","","http://www.senate.ga.gov/committees/en-US/committee.aspx?Committee=76&Session=25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25094,"GASCHHS25","SS","State Senate","Subcommittee on Technology and Education","Subcommittee","Senate Committee on Health and Human Services","GASCHHS",2,"Georgia","Room 121-F State Capitol Building","206 Washington Street","Atlanta","GA","30334","(404) 463-1368","(404) 651-6767","","http://www.senate.ga.gov/committees/en-US/committee.aspx?Committee=76&Session=24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25095,"SDJAC05","SJ","State Joint","Subcommittee on FTE","Subcommittee","Joint Committee on Appropriations","SDJAC",42,"South Dakota","Room LCR1 State Capitol","500 East Capitol Avenue","Pierre","SD","57501","(605) 773-3251","","","http://sdlegislature.gov/Legislative_Session/Committees/CommitteeDetail.aspx?Committee=295&Session=2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25096,"SDJCLP","SJ","State Joint","Joint Committee on Legislative Procedure","Committee","","",42,"South Dakota","Room 413 State Capitol","500 East Capitol Avenue","Pierre","SD","57501","(605) 773-3251","","","http://www.sdlegislature.gov/Legislative_Session/Committees/Default.aspx?Committee=380&Session=2018&tab=Detail&document=none#Detail","Greenfield","Brock","L.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25102,"MNJLCDP","SJ","State Joint","Joint Legislative Commission on Data Practices","Committee","","",15,"Minnesota","State Office Building","75 Dr. Martin Luther King Jr. Boulevard","St. Paul","MN","55155","(651) 296-9002","","","http://www.lcc.leg.mn/lcdp/","Scott","Peggy","","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25103,"MAHCRE","SH","State House","House Committee on Redistricting","Committee","","",13,"Massachusetts","Room 160 State House","24 Beacon Street","Boston","MA","02133","(617) 722-2304","","","http://malegislature.gov/Committees/Detail/RE0","Mark","Paul","W.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25107,"MIJCSFABG","SJ","State Joint","Joint Committee on Senate Fiscal Agency Board of Governors","Committee","","",14,"Michigan","Capitol Building","PO Box 30014","Lansing","MI","48909-7514","(517) 373-2768","","","http://www.senate.michigan.gov/committee/Standing%20Committees.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25109,"CTJCRR02","SJ","State Joint","Subcommittee on Department of Administrative Services","Subcommittee","Joint Committee on Regulation Review","CTJCRR",22,"Connecticut","Legislative Office Building","300 Capitol Avenue","Hartford","CT","06106-1591","(860) 240-0580","","","http://www.cga.ct.gov/rr/2015-2017%20Subcommittee%20Chairs.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25110,"CTJCRR04","SJ","State Joint","Subcommittee on Department of Agriculture and Agricultural Experiment Station","Subcommittee","Joint Committee on Regulation Review","CTJCRR",22,"Connecticut","Legislative Office Building","300 Capitol Avenue","Hartford","CT","06106-1591","(860) 240-0580","","","http://www.cga.ct.gov/rr/2015-2017%20Subcommittee%20Chairs.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25111,"CTJCRR08","SJ","State Joint","Subcommittee on Building and Fire Code","Subcommittee","Joint Committee on Regulation Review","CTJCRR",22,"Connecticut","Legislative Office Building","300 Capitol Avenue","Hartford","CT","06106-1591","(860) 240-0580","","","http://www.cga.ct.gov/rr/2015-2017%20Subcommittee%20Chairs.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25112,"CTJCRR12","SJ","State Joint","Subcommittee on Connecticut Siting Council, Public Utility Regulatory Authority, Energy","Subcommittee","Joint Committee on Regulation Review","CTJCRR",22,"Connecticut","Legislative Office Building","300 Capitol Avenue","Hartford","CT","06106-1591","(860) 240-0580","","","http://www.cga.ct.gov/rr/2015-2017%20Subcommittee%20Chairs.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25113,"CTJCRR24","SJ","State Joint","Subcommittee on State Elections Enforcement Commission and Office of State Ethics","Subcommittee","Joint Committee on Regulation Review","CTJCRR",22,"Connecticut","Legislative Office Building","300 Capitol Avenue","Hartford","CT","06106-1591","(860) 240-0580","","","http://www.cga.ct.gov/rr/2015-2017%20Subcommittee%20Chairs.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25115,"CTJCRR26","SJ","State Joint","Subcommittee on Department of Emergency Services and Public Protection and Department of Veterans Affairs","Subcommittee","Joint Committee on Regulation Review","CTJCRR",22,"Connecticut","Legislative Office Building","300 Capitol Avenue","Hartford","CT","06106-1591","(860) 240-0580","","","http://www.cga.ct.gov/rr/2015-2017%20Subcommittee%20Chairs.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25116,"CTJCRR32","SJ","State Joint","Subcommittee on Commission on Human Rights and Opportunity and Board of Pardons and Paroles","Subcommittee","Joint Committee on Regulation Review","CTJCRR",22,"Connecticut","Legislative Office Building","300 Capitol Avenue","Hartford","CT","06106-1591","(860) 240-0580","","","http://www.cga.ct.gov/rr/2015-2017%20Subcommittee%20Chairs.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25117,"ALSCTE","SS","State Senate","Senate Committee on Transportation and Energy","Committee","","",16,"Alabama","Alabama State House","11 South Union Street","Montgomery","AL","36130-4600","(334) 242-7861","","","http://www.legislature.state.al.us/aliswww/ISD/SenCommittee.aspx?OID_ORGANIZATION=3102&COMMITTEE=Transportation%20and%20Energy","Allen","Gerald","","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25118,"CTJCRR36","SJ","State Joint","Subcommittee on Department of Labor and Workers Compensation Commission","Subcommittee","Joint Committee on Regulation Review","CTJCRR",22,"Connecticut","Legislative Office Building","300 Capitol Avenue","Hartford","CT","06106-1591","(860) 240-0580","","","http://www.cga.ct.gov/rr/2015-2017%20Subcommittee%20Chairs.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25120,"CTJCRR44","SJ","State Joint","Subcommittee on Department of Public Health and Health Care Access Commission","Subcommittee","Joint Committee on Regulation Review","CTJCRR",22,"Connecticut","Legislative Office Building","300 Capitol Avenue","Hartford","CT","06106-1591","(860) 240-0580","","","http://www.cga.ct.gov/rr/2015-2017%20Subcommittee%20Chairs.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25121,"VISCHPWWM","SS","State Senate","Senate Committee on Housing, Public Works and Waste Management","Committee","","",55,"Virgin Islands","Capitol Building","PO Box 1690","St. Thomas","VI","00804","(340) 774-0880","","","http://www.legvi.org/index.php/committees/committees-of-the-31st-legislature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25122,"VISCEWD","SS","State Senate","Senate Committee on Government Services, Veterans and Consumer Affairs","Committee","","",55,"Virgin Islands","Capitol Building","PO Box 1690","St. Thomas","VI","00804","(340) 774-0880","","","http://www.legvi.org/index.php/committees/committees-of-the-31st-legislature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25123,"VISCHHHS","SS","State Senate","Senate Committee on Health, Hospitals and Human Services","Committee","","",55,"Virgin Islands","Capitol Building","PO Box 1690","St. Thomas","VI","00804","(340) 774-0880","","","http://www.legvi.org/index.php/committees/committees-of-the-31st-legislature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25125,"PRSCAFSS","SS","State Senate","Senate Committee on Agriculture, Food Security, Sustainability and South Mountain Region","Committee","","",54,"Puerto Rico","Capitol Building","PO Box 9023431","San Juan","PR","00904","(787) 724-2030","","","http://senado.pr.gov/Pages/ComisionesPermanentes.aspx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25127,"PRSCEWR","SS","State Senate","Senate Committee on Energy and Water Resource","Committee","","",54,"Puerto Rico","Capitol Building","PO Box 9023431","San Juan","PR","00904","(787) 724-2030","","","http://senado.pr.gov/Pages/ComisionesPermanentes.aspx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25128,"PRSCMADR","SS","State Senate","Senate Committee on Municipal Autonomy, Decentralization and Regionalization","Committee","","",54,"Puerto Rico","Capitol Building","PO Box 9023431","San Juan","PR","00904","(787) 724-2030","","","http://senado.pr.gov/Pages/ComisionesPermanentes.aspx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25129,"PRSCCSME","SS","State Senate","Senate Committee on Cooperatives, Small and Medium Enterprises and Micro-Enterprises","Committee","","",54,"Puerto Rico","Capitol Building","PO Box 9023431","San Juan","PR","00904","(787) 724-2030","","","http://senado.pr.gov/Pages/ComisionesPermanentes.aspx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25130,"PRSCPCPP","SS","State Senate","Senate Committee on Public Corporations and Public-Private Partnerships","Committee","","",54,"Puerto Rico","Capitol Building","PO Box 9023431","San Juan","PR","00904","(787) 724-2030","","","http://senado.pr.gov/Pages/ComisionesPermanentes.aspx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25131,"PRSCCRCS","SS","State Senate","Senate Committee on Civil Rights, Citizenship and Social Economic","Committee","","",54,"Puerto Rico","Capitol Building","PO Box 9023431","San Juan","PR","00904","(787) 724-2030","","","http://senado.pr.gov/Pages/ComisionesPermanentes.aspx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25132,"PRSCRD","SS","State Senate","Senate Committee on Rural Development","Committee","","",54,"Puerto Rico","Capitol Building","PO Box 9023431","San Juan","PR","00904","(787) 724-2030","","","http://senado.pr.gov/Pages/ComisionesPermanentes.aspx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25133,"PRSCETDI","SS","State Senate","Senate Committee on Education, Training and Development of the Individual","Committee","","",54,"Puerto Rico","Capitol Building","PO Box 9023431","San Juan","PR","00904","(787) 724-2030","","","http://senado.pr.gov/Pages/ComisionesPermanentes.aspx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25134,"PRSLCEI","SS","State Senate","Senate Legislative Committee on Ethics and Legislative Integrity","Committee","","",54,"Puerto Rico","Capitol Building","PO Box 9023431","San Juan","PR","00904","(787) 724-2030","","","http://senado.pr.gov/Pages/ComisionesPermanentes.aspx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25136,"PRSCIUDT","SS","State Senate","Senate Committee on Infrastructure, Urban Development and Transportation","Committee","","",54,"Puerto Rico","Capitol Building","PO Box 9023431","San Juan","PR","00904","(787) 724-2030","","","http://senado.pr.gov/Pages/ComisionesPermanentes.aspx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25137,"PRSCJSV","SS","State Senate","Senate Committee on Judiciary, Security and Veterans","Committee","","",54,"Puerto Rico","Capitol Building","PO Box 9023431","San Juan","PR","00904","(787) 724-2030","","","http://senado.pr.gov/Pages/ComisionesPermanentes.aspx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25138,"PRSCERCA","SS","State Senate","Senate Committee on Labor Relations, Consumer Affairs and Job Creation","Committee","","",54,"Puerto Rico","Capitol Building","PO Box 9023431","San Juan","PR","00904","(787) 724-2030","","","http://senado.pr.gov/Pages/ComisionesPermanentes.aspx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25139,"PRSCTCRS","SS","State Senate","Senate Committee on Tourism, Culture, Recreation and Sport and Globalization","Committee","","",54,"Puerto Rico","Capitol Building","PO Box 9023431","San Juan","PR","00904","(287) 724-2030","","","http://senado.pr.gov/Pages/ComisionesPermanentes.aspx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25140,"PRSCSHC","SS","State Senate","Senate Committee on Sustainable Housing and Communities","Committee","","",54,"Puerto Rico","Capitol Building","PO Box 9023431","San Juan","PR","00904","(787) 724-2030","","","http://senado.pr.gov/Pages/ComisionesPermanentes.aspx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25141,"GUCATPDBIR","SS","State Senate","Senate Committee on Appropriations and Adjudication","Committee","","",53,"Guam","RJB Government Complex","155 Hessler Street","Hagatna","GU","96910","(671) 472-3580","","","http://www.guamlegislature.com/committees_34th.htm","Cruz","Benjamin","J.F.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25143,"PRHCANREA","SH","State House","House Committee on Agriculture, Natural Resources, and Environmental Affairs","Committee","","",54,"Puerto Rico","Capitol Building","PO Box 9023431","San Juan","PR","00904","(787) 725-5115","(787) 725-0630","","http://www.tucamarapr.org/dnncamara/web/actividadlegislativa/comisionesyproyectosespeciales.aspx?comm=69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25144,"PRHCE","SH","State House","House Committee on Ethics","Committee","","",54,"Puerto Rico","Capitol Building","PO Box 9023431","San Juan","PR","00904","(787) 721-5007","(787) 622-4899","","http://www.tucamarapr.org/dnncamara/web/actividadlegislativa/comisionesyproyectosespeciales.aspx?comm=67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25146,"PRHCTISR","SH","State House","House Committee on Transportation, Infrastructure and Sports and Recreation","Committee","","",54,"Puerto Rico","Capitol Building","PO Box 9023431","San Juan","PR","00904","(787) 622-3802","(787) 725-0437","","http://www.tucamarapr.org/dnncamara/web/actividadlegislativa/comisionesyproyectosespeciales.aspx?comm=72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25147,"PRHCLRSPS","SH","State House","House Committee on Labor and Retirement System Public Service","Committee","","",54,"Puerto Rico","Capitol Building","PO Box 9023431","San Juan","PR","00904","(787) 725-5595","(787) 723-5785","","http://www.tucamarapr.org/dnncamara/web/actividadlegislativa/comisionesyproyectosespeciales.aspx?comm=73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25150,"PRHCSEDP","SH","State House","House Committee on Socio-Economic Development and Planning","Committee","","",54,"Puerto Rico","Capitol Building","PO Box 9023431","San Juan","PR","00904","(787) 725-1435","(787) 622-4963","","http://www.tucamarapr.org/dnncamara/web/actividadlegislativa/comisionesyproyectosespeciales.aspx?comm=63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25152,"PRHCSMBTIT","SH","State House","House Committee on Small and Medium Business, Trade, Industry, and Telecommunications","Committee","","",54,"Puerto Rico","Capitol Building","PO Box 9023431","San Juan","PR","00904","(787) 725-1435","(787) 622-4963","","http://www.tucamarapr.org/dnncamara/web/actividadlegislativa/comisionesyproyectosespeciales.aspx?comm=74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24579,"ARJBRCLS","SJ","State Joint","Joint Blue Ribbon Committee on Local 911 Systems","Committee","","",19,"Arkansas","State Capitol Building","1500 West Capitol Avenue","Little Rock","AR","72201","(501) 682-5951","","","http://www.arkleg.state.ar.us/assembly/2017/2017R/pages/CommitteeDetail.aspx?committeecode=136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24580,"MOJCSWMDO","SJ","State Joint","Joint Committee on Solid Waste Management District Operations","Committee","","",26,"Missouri","State Capitol Building","201 West Capitol Avenue","Jefferson City","MO","65101","(573) 751-3766","","","http://www.house.mo.gov/CommitteeIndividual.aspx?com=01345&year=2016&code=R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24582,"MOJCSC","SJ","State Joint","Joint Oversight Commission on Sentencing and Corrections","Committee","","",26,"Missouri","State Capitol Building","201 West Capitol Avenue","Jefferson City","MO","65101","(573) 751-3766","","","http://www.senate.mo.gov/scsc/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24586,"NVJICF05","SJ","State Joint","Subcommittee to Review and Advise on the Development of Priorities and Performance Based Budgeting (PPBB) by the Department of Administration, Budget","Subcommittee","Joint Interim Committee on Finance","NVJICF",29,"Nevada","Legislative Building","401 South Carson Street","Carson City","NV","89701-4747","(775) 684-6821","(775) 684-6475","","http://www.leg.state.nv.us/Interim/77th2013/Committee/Interim/IFCPPBB/?ID=3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24588,"NVJILC05","SJ","State Joint","Subcommittee on Audit","Subcommittee","Joint Interim Legislative Commission","NVJILC",29,"Nevada","Legislative Building","401 South Carson Street","Carson City","NV","89701-4747","(775) 684-6815","(775) 684-6435","","http://www.leg.state.nv.us/Interim/78th2015/Committee/StatCom/Audit/?ID=22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24589,"NVJILC10","SJ","State Joint","Subcommittee to Review Regulations","Subcommittee","Joint Interim Legislative Commission","NVJILC",29,"Nevada","Legislative Building","401 South Carson Street","Carson City","NV","89701-4747","(775) 684-6830","(775) 684-6761","","http://www.leg.state.nv.us/Interim/78th2015/Committee/StatCom/Regulations/?ID=17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24590,"NVJLCENR","SJ","State Joint","Joint Legislative Committee on Energy","Committee","","",29,"Nevada","Legislative Building","401 South Carson Street","Carson City","NV","89701-4747","(775) 684-6825","(775) 684-6400","","http://www.leg.state.nv.us/Interim/78th2015/Committee/StatCom/Energy/?ID=26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24591,"NVJILC15","SJ","State Joint","Subcommittee on Sunset","Subcommittee","Joint Interim Legislative Commission","NVJILC",29,"Nevada","Legislative Building","401 South Carson Street","Carson City","NV","89701-4747","(775) 684-6825","(775) 684-6400","","http://www.leg.state.nv.us/Interim/78th2015/Committee/StatCom/Sunset/?ID=25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24592,"NVJCSCC","SJ","State Joint","Joint Committee to Conduct an Interim Study Concerning Community Colleges","Committee","","",29,"Nevada","Legislative Building","401 South Carson Street","Carson City","NV","89701-4747","(775) 684-6825","(775) 684-6400","","http://www.leg.state.nv.us/Interim/77th2013/Committee/Studies/CommColleges/?ID=65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24593,"NVJCSCC05","SJ","State Joint","Subcommittee on Academics and Workforce Alignment","Subcommittee","Joint Committee to Conduct an Interim Study Concerning Community Colleges","NVJCSCC",29,"Nevada","Legislative Building","401 South Carson Street","Carson City","NV","89701-4747","(775) 684-6825","(775) 684-6400","","http://www.leg.state.nv.us/Interim/77th2013/Committee/Studies/CommCollegesAcadWork/?ID=75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24594,"NVJCSCC10","SJ","State Joint","Subcommittee on Governance and Funding","Subcommittee","Joint Committee to Conduct an Interim Study Concerning Community Colleges","NVJCSCC",29,"Nevada","Legislative Building","401 South Carson Street","Carson City","NV","89701-4747","(775) 684-6825","(775) 684-6400","","http://www.leg.state.nv.us/Interim/77th2013/Committee/Studies/CommCollegesGovFund/?ID=74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24596,"NVJTFPEF","SJ","State Joint","Joint Task Force on K-12 Public Education Funding","Committee","","",29,"Nevada","Legislative Building","401 South Carson Street","Carson City","NV","89701-4747","(775) 684-6821","(775) 684-6475","","http://www.leg.state.nv.us/Interim/77th2013/Committee/Studies/K12Funding/?ID=67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24597,"TNHCETH","SH","State House","House Select Committee on Ethics","Committee","","",43,"Tennessee","Room 940 Cordell Hull Building","425 5th Avenue North","Nashville","TN","37243","(615) 741-9506","","","http://www.capitol.tn.gov/house/committees/ethics.html","McDaniel","Steve","K.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24600,"DEJLC","SJ","State Joint","Joint Legislative Council","Committee","","",23,"Delaware","Legislative Hall","PO Box 1401","Dover","DE","19903","(302) 744-4129","","","http://legis.delaware.gov/Committee/LegislativeCouncil","Schwartzkopf","Peter","C.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
