"OFCID","OFCTYPE","TYPEDESCR","OFCNAME","OFCSTATE","STATENAME","OFCORDER","STREET1","STREET2","CITY","STATE","ZIP","PHONE","FAX","EMAIL","URL","OFFICERLNAME","OFFICERFNAME","OFFICERMNAME","SDLNAME","SDFNAME","SDMNAME","SDTITLE","SDPHONE","SDEMAIL","GCLNAME","GCFNAME","GCMNAME","GCTITLE","GCPHONE","GCEMAIL","LDLNAME","LDFNAME","LDMNAME","LDTITLE","LDPHONE","LDEMAIL","PSLNAME","PSFNAME","PSMNAME","PSTITLE","PSPHONE","PSEMAIL"
1599,"FH","Federal House","House Republican Conference Vice Chairman",,"",11,"Room 1504 LHOB- Longworth House Office Building","15 Independence Avenue, SE","Washington","DC","20515-1602","(202) 225-9893","(202) 226-1224","http://dougcollins.house.gov/email-me/","http://www.gop.gov/","Collins","Doug","A.","","","","","","","","","","","","","","","","","","elizabeth.hoffman@mail.house.gov","","","","","",""
1600,"FH","Federal House","House Republican Conference Secretary",,"",12,"Room 1118 LHOB- Longworth House Office Building","15 Independence Avenue, SE","Washington","DC","20515","(202) 225-4404","(202) 226-0326","http://jasonsmith.house.gov/contact/email-jason","http://www.gop.gov/","Smith","Jason","T.","","","","","","","","","","","","","","","","","","elizabeth.hoffman@mail.house.gov","","","","","",""
1601,"FH","Federal House","House Democratic Steering and Policy Committee Co-Vice Chair",,"",19,"Room 2367 RHOB- Rayburn House Office Building","50 Independence Avenue, SW","Washington","DC","20515","(202) 225-2111","(202) 226-6890","","http://www.democraticleader.gov/","Lee","Barbara","J.","","","","","","","","","","","","","","","","","","elizabeth.hoffman@mail.house.gov","","","","","",""
1602,"FH","Federal House","House Democratic Steering and Policy Committee Co-Vice Chair",,"",18,"Room 2463 RHOB- Rayburn House Office Building","50 Independence Avenue, SW","Washington","DC","20515","(202) 225-1640","(202) 225-1641","","http://www.democraticleader.gov/","Polis","Jared","S.","","","","","","","","","","","","","","","","","","elizabeth.hoffman@mail.house.gov","","","","","",""
1613,"FH","Federal House","House Assistant Democratic Leader",,"",7,"Room H-132 The Capitol","","Washington","DC","20515","(202) 226-3210","(202) 225-9253","http://assistantdemocraticleader.house.gov/index.cfm?p=SendAnEmail","http://assistantdemocraticleader.house.gov/","Clyburn","James","E.","Watkins","Yelberton","R.","Chief of Staff","(202) 225-3315","Yebbie.Watkins@mail.house.gov","","","","","","","","","","","","elizabeth.hoffman@mail.house.gov","Devlin","Patrick","J.","Communications Director","(202) 226-3210","patrick.devlin@mail.house.gov"
1817,"FS","Federal Senate","President Pro Tempore Emeritus",,"",3,"Room 437 RSOB- Russell Senate Office Building","2 Constitution Avenue, NE","Washington","DC","20510-4502","(202) 224-4242","(202) 224-3479","senator_leahy@leahy.senate.gov","http://www.leahy.senate.gov/","Leahy","Patrick","J.","","","","","","","","","","","","","","","","","","elizabeth.hoffman@mail.house.gov","","","","","",""
1818,"FS","Federal Senate","Senate Steering Committee Chairman",,"",20,"Room 361A RSOB- Russell Senate Office Building","2 Constitution Avenue, NE","Washington","DC","20510-3806","(202) 224-5444","","http://www.lee.senate.gov/public/index.cfm/contact","http://www.republican.senate.gov/public/","Lee","Mike","","Baig","Wendy","","Executive Director","(202) 224-5444","wendy_baig@lee.senate.gov","","","","","","","","","","","","elizabeth.hoffman@mail.house.gov","","","","","",""
1866,"FH","Federal House","House Democratic Policy and Communications Committee Co-Chair",,"",20,"House Basement 18 The Capitol","","Washington","DC","20004","(202) 225-3335","","DPCC@mail.house.gov","http://dpcc.house.gov/","Bustos","Cheri","L.","Androff","Blake","","Executive Director","(202) 225-3335","blake.androff@mail.house.gov","","","","","","","","","","","","elizabeth.hoffman@mail.house.gov","Ritchie","Rochelle","","Press Advisor","(202) 225-3335","rochelle.ritchie@mail.house.gov"
1878,"FH","Federal House","House Democratic Policy and Communications Committee Co-Chair",,"",21,"House Basement 18 The Capitol","","Washington","DC","20004","(202) 225-3335","","DPCC@mail.house.gov","http://dpcc.house.gov/","Jeffries","Hakeem","S.","","","","","","","","","","","","","","","","","","elizabeth.hoffman@mail.house.gov","","","","","",""
1880,"FS","Federal Senate","Senate Assistant Minority Leader",,"",6,"Room 154 RSOB- Russell Senate Office Building","2 Constitution Avenue, NE","Washington","DC","20510","(202) 224-2621","(202) 224-0238","http://www.murray.senate.gov/public/index.cfm/contactme","http://democrats.senate.gov/leadership/","Murray","Patty","","Rich","Stacy","","Staff Director","(202) 224-2621","stacy_rich@murray.senate.gov","","","","","","","","","","","","elizabeth.hoffman@mail.house.gov","","","","","",""
1881,"FS","Federal Senate","Senate Democratic Conference Vice Chairman",,"",12,"Room 475 RSOB- Russell Senate Office Building","2 Constitution Avenue, NE","Washington","DC","20510","(202) 224-2023","","http://www.warner.senate.gov/public/index.cfm/contactpage","http://democrats.senate.gov/","Warner","Mark","R.","","","","","","","","","","","","","","","","","","elizabeth.hoffman@mail.house.gov","","","","","",""
1882,"FS","Federal Senate","Democratic Outreach Committee Chairman",,"",22,"Room 332 DSOB- Dirksen Senate Office Building","100 Constitution Avenue, NE","Washington","DC","20510","(202) 224-5141","(202) 228-0776","press@sanders.senate.gov","http://www.sanders.senate.gov/","Sanders","Bernie","","","","","","","","","","","","","","","","","","","elizabeth.hoffman@mail.house.gov","","","","","",""
1883,"FH","Federal House","House Caucus Leadership Representative of Five Terms or Less",,"",23,"Room 1510 LHOB- Longworth House Office Building","15 Independence Avenue, SE","Washington","DC","20515","(202) 225-6131","(202) 225-0819","http://cardenas.house.gov/contact-me/email-me","http://cardenas.house.gov/","Cardenas","Tony","","","","","","","","","","","","","","","","","","","elizabeth.hoffman@mail.house.gov","","","","","",""
1884,"FH","Federal House","House Freshman Representative to Leadership",,"",24,"Room 422 CHOB- Cannon House Office Building","25 Independence Avenue, SE","Washington","DC","20515","(202) 225-2726","(202) 225-0688","http://hanabusa.house.gov/contact","http://hanabusa.house.gov/","Hanabusa","Colleen","W.","","","","","","","","","","","","","","","","","","elizabeth.hoffman@mail.house.gov","","","","","",""
